NAICS code,caption,trir,dart
11,"Agriculture, forestry, fishing and hunting",5.0,3.0
111,Crop production,5.2,3.1
1111,Oilseed and grain farming,2.9,1.7
1112,Vegetable and melon farming,4.6,2.6
1113,Fruit and tree nut farming,6.4,3.7
1114,"Greenhouse, nursery, and floriculture production",5.1,3.1
1119,Other crop farming,3.7,2.4
112,Animal production and aquaculture,6.1,3.8
1121,Cattle ranching and farming,5.8,3.4
11211,"Beef cattle ranching and farming, including feedlots",6.8,3.9
11212,Dairy cattle and milk production,5.5,3.3
1122,Hog and pig farming,7.7,4.4
1123,Poultry and egg production,6.1,4.5
1125,Aquaculture,3.9,2.5
113,Forestry and logging,3.1,1.6
1133,Logging,2.8,1.3
114,"Fishing, hunting and trapping",0,0
1142,Hunting and trapping,0,0
115,Support activities for agriculture and forestry,4.5,2.6
1151,Support activities for crop production,4.7,2.8
11511,Support activities for crop production,4.7,2.8
115111,Cotton ginning,3.8,1.5
115112,"Soil preparation, planting, and cultivating",3.2,2.3
115113,"Crop harvesting, primarily by machine",3.9,1.8
115114,Postharvest crop activities (except cotton ginning),5.6,3.4
115115,Farm labor contractors and crew leaders,4.5,2.7
115116,Farm management services,5.9,2.9
1152,Support activities for animal production,3.8,2.1
1153,Support activities for forestry,2.1,0.9
21,"Mining, quarrying, and oil and gas extraction",1.5,1.0
211,Oil and gas extraction,1.0,0.6
2111,Oil and gas extraction,1.0,0.6
21111,Oil and gas extraction,1.0,0.6
211111,Crude petroleum and natural gas extraction,1.0,0.7
212,Mining (except oil and gas),2.4,1.6
2121,Coal mining,3.7,2.5
21211,Coal mining,3.7,2.5
212111,Bituminous coal and lignite surface mining,1.5,0.9
212112,Bituminous coal underground mining,5.5,3.7
212113,Anthracite mining,4.9,3.5
2122,Metal ore mining,1.8,1.3
21221,Iron ore mining,2.1,1.4
21222,Gold ore and silver ore mining,1.4,1.0
212221,Gold ore mining,1.2,0.9
212222,Silver ore mining,3.2,1.8
21223,"Copper, nickel, lead, and zinc mining",2.3,1.6
212231,Lead ore and zinc ore mining,3.9,3.0
212234,Copper ore and nickel ore mining,2.0,1.3
21229,Other metal ore mining,1.9,1.3
212291,Uranium-radium-vanadium ore mining,0,0
212299,All other metal ore mining,1.9,1.2
2123,Nonmetallic mineral mining and quarrying,1.9,1.3
21231,Stone mining and quarrying,1.9,1.3
212311,Dimension stone mining and quarrying,2.2,1.8
212312,Crushed and broken limestone mining and quarrying,1.8,1.2
212313,Crushed and broken granite mining and quarrying,1.6,1.1
212319,Other crushed and broken stone mining and quarrying,2.1,1.5
21232,"Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying",1.9,1.3
212321,Construction sand and gravel mining,1.9,1.3
212324,Kaolin and ball clay mining,1.4,1.1
212325,Clay and ceramic and refractory minerals mining,2.8,1.7
21239,Other nonmetallic mineral mining and quarrying,1.6,1.1
