NAICS codecaption,caption,trir,dart
11,"Agriculture, forestry, fishing and huntingcaption",5.3,3.3
111,Crop productioncaption,5.6,3.4
1111,Oilseed and grain farmingcaption,2.8,1.7
1112,Vegetable and melon farmingcaption,4.4,2.5
1113,Fruit and tree nut farmingcaption,6.5,4.3
1114,"Greenhouse, nursery, and floriculture productioncaption",5.8,3.3
1119,Other crop farmingcaption,5.5,3.1
112,Animal production and aquaculturecaption,6.5,4.3
1121,Cattle ranching and farmingcaption,6.8,4.5
11211,"Beef cattle ranching and farming, including feedlotscaption",8.5,5
11212,Dairy cattle and milk productioncaption,6.3,4.4
1122,Hog and pig farmingcaption,7.7,5.3
1123,Poultry and egg productioncaption,4.3,3.1
1124,Sheep and goat farmingcaption,0,0
1125,Aquaculturecaption,6.1,4
1129,Other animal productioncaption,8.9,4.6
113,Forestry and logging,3.5,2.9
1132,Forest nurseries and gathering of forest products,3.6,2.8
1133,Logging,3.5,3
114,"Fishing, hunting and trapping",2.5,2.4
1142,Hunting and trapping,3.1,3.1
115,Support activities for agriculture and forestry,4.6,2.7
1151,Support activities for crop production,4.6,2.8
11511,Support activities for crop production,4.6,2.8
115112,"Soil preparation, planting, and cultivating",4.7,2.2
115113,"Crop harvesting, primarily by machine",6.1,4.8
115114,Postharvest crop activities (except cotton ginning),5.9,4
115115,Farm labor contractors and crew leaders,3.9,2.2
115116,Farm management services,3.5,2
1152,Support activities for animal production,3.8,1.8
1153,Support activities for forestry,5.8,1.4
21,"Mining, quarrying, and oil and gas extractioncaption",1.4,0.8
211,Oil and gas extraction,0.8,0.4
2111,Oil and gas extraction,0.8,0.4
21111,Oil and gas extraction,0.8,0.4
211111,Crude petroleum and natural gas extraction,0.9,0.4
211112,Natural gas liquid extraction,0.8,0.4
212,Mining (except oil and gas)caption,2.3,1.5
2121,Coal miningcaption,3.3,2.2
21211,Coal miningcaption,3.3,2.2
212111,Bituminous coal and lignite surface miningcaption,1.4,0.9
212112,Bituminous coal underground miningcaption,4.7,3.2
212113,Anthracite miningcaption,3.4,2.5
2122,Metal ore miningcaption,1.8,1.2
21221,Iron ore miningcaption,1.9,1.4
21222,Gold ore and silver ore miningcaption,1.2,0.8
212221,Gold ore miningcaption,1.1,0.7
212222,Silver ore miningcaption,2.6,1.4
21223,"Copper, nickel, lead, and zinc miningcaption",2.1,1.5
212231,Lead ore and zinc ore miningcaption,2.9,1.9
212234,Copper ore and nickel ore miningcaption,2,1.4
21229,Other metal ore miningcaption,2.8,1.9
212291,Uranium-radium-vanadium ore miningcaption,0,0
212299,All other metal ore miningcaption,2.7,1.9
2123,Nonmetallic mineral mining and quarryingcaption,1.9,1.3
21231,Stone mining and quarryingcaption,1.9,1.3
212311,Dimension stone mining and quarryingcaption,2.3,1.8
212312,Crushed and broken limestone mining and quarryingcaption,1.8,1.3
212313,Crushed and broken granite mining and quarryingcaption,1.4,0.9
212319,Other crushed and broken stone mining and quarryingcaption,2.1,1.5
21232,"Sand, gravel, clay, and ceramic and refractory minerals mining and quarryingcaption",1.9,1.3
212321,Construction sand and gravel miningcaption,1.9,1.3
212324,Kaolin and ball clay miningcaption,1.3,1
212325,Clay and ceramic and refractory minerals miningcaption,3.3,2.2
21239,Other nonmetallic mineral mining and quarryingcaption,1.7,1.1
212391,"Potash, soda, and borate mineral miningcaption",1,0.6
212392,Phosphate rock miningcaption,1.1,0.6
212393,Other chemical and fertilizer mineral miningcaption,2.7,1.8
212399,All other nonmetallic mineral miningcaption,2.1,1.4
213,Support activities for mining,1,0.6
2131,Support activities for mining,1,0.6
21311,Support activities for mining,1,0.6
213111,Drilling oil and gas wells,1.5,0.8
213112,Support activities for oil and gas operations,0.9,0.5
23,Construction,3,1.8
236,Construction of buildings,2.7,1.6
2361,Residential building construction,2.9,1.9
2362,Nonresidential building construction,2.5,1.4
237,Heavy and civil engineering construction,2.6,1.5
2371,Utility system construction,2.3,1.3
23711,Water and sewer line and related structures construction,3.6,2.2
23712,Oil and gas pipeline and related structures construction,0.7,0.4
23713,Power and communication line and related structures construction,2.5,1.3
2372,Land subdivision,1.1,0.7
2373,"Highway, street, and bridge construction",3.6,2
2379,Other heavy and civil engineering construction,2.2,1.4
238,Specialty trade contractors,3.1,1.9
2381,"Foundation, structure, and building exterior contractors",4.2,2.6
23811,Poured concrete foundation and structure contractors,4.2,2.5
23812,Structural steel and precast concrete contractors,3.8,2.6
23813,Framing contractors,6.6,4.9
23814,Masonry contractors,4,1.7
23815,Glass and glazing contractors,3.2,1.9
23816,Roofing contractors,4.3,3
23817,Siding contractors,1.8,1.1
23819,"Other foundation, structure, and building exterior contractors",4.3,2.6
2382,Building equipment contractors,3,1.7
23821,Electrical contractors and other wiring installation contractors,2.4,1.3
23822,"Plumbing, heating, and air-conditioning contractors",3.6,2
23829,Other building equipment contractors,2.5,1.7
2383,Building finishing contractors,2.8,1.8
23831,Drywall and insulation contractors,3.4,2.3
23832,Painting and wall covering contractors,1.7,1.2
23833,Flooring contractors,3.9,2.4
23834,Tile and terrazzo contractors,3.4,2.2
23835,Finish carpentry contractors,2.9,1.7
23839,Other building finishing contractors,2.7,1.2
2389,Other specialty trade contractors,2.6,1.7
23891,Site preparation contractors,2.7,1.8
23899,All other specialty trade contractors,2.5,1.7
31-33,Manufacturing,3.4,2
311,Food manufacturing,4.2,2.9
3111,Animal food manufacturing,3.3,2.1
31111,Animal food manufacturing,3.3,2.1
311111,Dog and cat food manufacturing,2.9,1.8
311119,Other animal food manufacturing,3.7,2.2
3112,Grain and oilseed milling,2.5,1.5
31121,Flour milling and malt manufacturing,2.9,1.7
311211,Flour milling,2.7,1.5
311212,Rice milling,3.3,2.1
31122,Starch and vegetable fats and oils manufacturing,2.4,1.4
311221,Wet corn milling,2.2,0.9
311224,Soybean and other oilseed processing,2.2,1.5
311225,Fats and oils refining and blending,2.9,2.1
31123,Breakfast cereal manufacturing,2.4,1.5
3113,Sugar and confectionery product manufacturing,4.1,2.5
31131,Sugar manufacturing,0,0
311313,Beet sugar manufacturing,7.2,4.2
31134,Nonchocolate confectionery manufacturing,4,2.4
31135,Chocolate and confectionery manufacturing,3.4,2.4
311352,Confectionery manufacturing from purchased chocolate,3.3,2.4
3114,Fruit and vegetable preserving and specialty food manufacturing,4.2,2.9
31141,Frozen food manufacturing,4.1,2.8
311411,"Frozen fruit, juice, and vegetable manufacturing",5.2,3.2
311412,Frozen specialty food manufacturing,3.5,2.7
31142,"Fruit and vegetable canning, pickling, and drying",4.4,2.9
311421,Fruit and vegetable canning,4.4,2.7
311422,Specialty canning,4.4,3.9
3115,Dairy product manufacturing,4.8,3.2
31151,Dairy product (except frozen) manufacturing,4.5,3.1
311511,Fluid milk manufacturing,4.5,3.3
311513,Cheese manufacturing,5.2,3.5
311514,"Dry, condensed, and evaporated dairy product manufacturing",2.4,1
31152,Ice cream and frozen dessert manufacturing,7.2,4.3
3116,Animal slaughtering and processing,4.3,3
31161,Animal slaughtering and processing,4.3,3
311611,Animal (except poultry) slaughtering,5.1,3.6
311612,Meat processed from carcasses,4.6,3.5
311613,Rendering and meat byproduct processing,5.4,4.1
311615,Poultry processing,3.5,2.4
3117,Seafood product preparation and packaging,6,4.4
3118,Bakeries and tortilla manufacturing,4.1,2.9
31181,Bread and bakery product manufacturing,4,2.8
311811,Retail bakeries,2.3,1.3
311812,Commercial bakeries,4.8,3.5
31182,"Cookie, cracker, and pasta manufacturing",4.4,0
311824,"Dry pasta, dough, and flour mixes manufacturing from purchased flour",4,3.3
31183,Tortilla manufacturing,4.6,2.5
3119,Other food manufacturing,4.2,2.7
31191,Snack food manufacturing,4,2.7
311911,Roasted nuts and peanut butter manufacturing,3.5,1.6
311919,Other snack food manufacturing,4.3,3.2
31192,Coffee and tea manufacturing,2.8,1.5
31193,Flavoring syrup and concentrate manufacturing,3.1,2.1
31194,Seasoning and dressing manufacturing,4.8,3.1
311941,"Mayonnaise, dressing, and other prepared sauce manufacturing",4.2,2.5
311942,Spice and extract manufacturing,5.3,3.5
31199,All other food manufacturing,4.6,2.8
311991,Perishable prepared food manufacturing,5,3.1
311999,All other miscellaneous food manufacturing,3.8,2.4
312,Beverage and tobacco product manufacturing,4.7,3.1
3121,Beverage manufacturing,4.8,3.1
31211,Soft drink and ice manufacturing,6.5,4.8
312111,Soft drink manufacturing,7,5.3
312112,Bottled water manufacturing,5.4,3.2
312113,Ice manufacturing,3.9,2.4
31212,Breweries,3.6,1.7
31213,Wineries,3.2,1.7
31214,Distilleries,1.9,1.3
3122,Tobacco manufacturing,3.3,2
313,Textile mills,3,2
3131,"Fiber, yarn, and thread mills",2.9,2
3132,Fabric mills,3.4,2.3
31321,Broadwoven fabric mills,3.6,2.3
