NAICS code,Industry,TRIR,DART
11,"Agriculture, forestry, fishing and hunting",5.2,3.2
111,Crop production,5.3,3.1
1111,Oilseed and grain farming,5.7,2.6
1112,Vegetable and melon farming,4.9,2.6
1113,Fruit and tree nut farming,5.9,3.7
1114,"Greenhouse, nursery, and floriculture production",5.1,2.9
1119,Other crop farming,4.2,2.5
112,Animal production and aquaculture,5.6,3.5
1121,Cattle ranching and farming,5.2,3.3
11211,"Beef cattle ranching and farming, including feedlots",5.3,2.8
11212,Dairy cattle and milk production,5.2,3.4
1122,Hog and pig farming,7.5,3.8
1123,Poultry and egg production,5.2,3.5
1129,Other animal production,5.7,3.3
113,Forestry and logging,2.8,2.4
1133,Logging,2.7,2.3
114,"Fishing, hunting and trapping",4.6,3.2
1141,Fishing,6,4.1
1142,Hunting and trapping,0,0
115,Support activities for agriculture and forestry,5.2,3.3
1151,Support activities for crop production,5.4,3.5
11511,Support activities for crop production,5.4,3.5
115111,Cotton ginning,4.5,4.2
115112,"Soil preparation, planting, and cultivating",4.2,2.2
115113,"Crop harvesting, primarily by machine",6.4,3.8
115115,Farm labor contractors and crew leaders,4.6,2.7
115116,Farm management services,6.2,3.3
1152,Support activities for animal production,3.5,2.1
1153,Support activities for forestry,3.7,1.9
21,"Mining, quarrying, and oil and gas extraction",1.2,0.8
211,Oil and gas extraction,0.6,0.4
2111,Oil and gas extraction,0.6,0.4
21112,Crude petroleum extraction,0.6,0.4
21113,Natural gas extraction,0.6,0.3
212,Mining (except oil and gas),2.3,1.5
2121,Coal mining,3.3,2.2
21211,Coal mining,3.3,2.2
212111,Bituminous coal and lignite surface mining,1.3,0.9
212112,Bituminous coal underground mining,4.8,3.1
212113,Anthracite mining,4.6,3.3
2122,Metal ore mining,1.9,1.4
21221,Iron ore mining,1.6,1.2
21222,Gold ore and silver ore mining,1.3,0.9
212221,Gold ore mining,1.2,0.8
212222,Silver ore mining,2.9,1.9
21223,"Copper, nickel, lead, and zinc mining",2.5,1.8
21229,Other metal ore mining,2.7,2.2
212291,Uranium-radium-vanadium ore mining,0,0
212299,All other metal ore mining,2.8,2.2
2123,Nonmetallic mineral mining and quarrying,1.8,1.2
21231,Stone mining and quarrying,1.9,1.3
212311,Dimension stone mining and quarrying,2.4,1.8
212312,Crushed and broken limestone mining and quarrying,1.8,1.1
212313,Crushed and broken granite mining and quarrying,1.7,1.2
212319,Other crushed and broken stone mining and quarrying,2.1,1.3
21232,"Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying",1.7,1.2
212321,Construction sand and gravel mining,1.7,1.1
212324,Kaolin and ball clay mining,1.2,0.9
212325,Clay and ceramic and refractory minerals mining,3.2,2.3
21239,Other nonmetallic mineral mining and quarrying,1.8,1.2
212391,"Potash, soda, and borate mineral mining",1,0.7
212392,Phosphate rock mining,1.4,1
212393,Other chemical and fertilizer mineral mining,3,1.6
212399,All other nonmetallic mineral mining,1.8,1.3
213,Support activities for mining,0.9,0.6
2131,Support activities for mining,0.9,0.6
21311,Support activities for mining,0.9,0.6
213111,Drilling oil and gas wells,1.3,0.8
213112,Support activities for oil and gas operations,0.8,0.5
23,Construction,2.8,1.7
236,Construction of buildings,2.5,1.5
2361,Residential building construction,3,2
2362,Nonresidential building construction,1.9,1.1
237,Heavy and civil engineering construction,2.4,1.5
2371,Utility system construction,2.1,1.3
23711,Water and sewer line and related structures construction,3.5,2.3
23712,Oil and gas pipeline and related structures construction,0.5,0.3
23713,Power and communication line and related structures construction,2.5,1.6
2372,Land subdivision,1.7,1.3
2373,"Highway, street, and bridge construction",3.4,2
2379,Other heavy and civil engineering construction,1.8,1.4
238,Specialty trade contractors,3.1,1.8
2381,"Foundation, structure, and building exterior contractors",4.3,2.7
23811,Poured concrete foundation and structure contractors,3.8,2.4
23812,Structural steel and precast concrete contractors,3.2,1.9
23813,Framing contractors,7,4.5
23814,Masonry contractors,3.6,2.1
23815,Glass and glazing contractors,3.9,1.6
23816,Roofing contractors,4.8,3.5
23817,Siding contractors,0,3.6
23819,"Other foundation, structure, and building exterior contractors",2.9,1.8
2382,Building equipment contractors,2.9,1.6
23821,Electrical contractors and other wiring installation contractors,2.2,1.2
23822,"Plumbing, heating, and air-conditioning contractors",3.5,2
23829,Other building equipment contractors,2.5,1.7
2383,Building finishing contractors,3.1,1.9
23831,Drywall and insulation contractors,3.9,2.4
23832,Painting and wall covering contractors,2.3,1.7
23833,Flooring contractors,0,1.5
23834,Tile and terrazzo contractors,2,1.3
23835,Finish carpentry contractors,3.3,2.2
23839,Other building finishing contractors,2.4,1.4
2389,Other specialty trade contractors,2,1.3
