NAICS code,Industry,TRIR,DART,,,
11,"Agriculture, forestry, fishing and hunting",4.6,3.1,1.9,1.2,1.5
21,"Mining, quarrying, and oil and gas extraction",1.2,0.8,0.6,0.2,0.3
22,Utilities,1.5,1,0.6,0.4,0.5
22,Utilities,3.5,2.1,1.2,1,1.4
23,Construction,2.5,1.6,1.1,0.5,1
42,Wholesale trade,2.4,1.7,1,0.7,0.7
51,Information,0.8,0.5,0.4,0.1,0.3
52,Finance and insurance,0.3,0.1,0.1,0,0.2
53,Real estate and rental and leasing,2.1,1.3,0.9,0.4,0.8
54,"Professional, scientific, and technical services",0.7,0.3,0.2,0.1,0.4
55,Management of companies and enterprises,0.6,0.3,0.2,0.1,0.3
56,Administrative and support and waste management and remediation services,2,1.3,0.9,0.4,0.7
61,Educational services,1.1,0.5,0.4,0.1,0.6
61,Educational services,1,0.5,0.3,0.2,0.5
61,Educational services,2.4,0.9,0.6,0.2,1.5
62,Health care and social assistance,5.5,3.7,3,0.6,1.8
62,Health care and social assistance,8.2,5.3,4.5,0.9,2.8
62,Health care and social assistance,6.3,3.4,2.8,0.6,2.9
71,"Arts, entertainment, and recreation",3,1.6,1,0.6,1.4
72,Accommodation and food services,2.6,1.2,0.8,0.4,1.4
81,Other services (except public administration),1.8,1.1,0.9,0.3,0.7
92,Public administration,3.7,2.3,2,0.3,1.3
92,Public administration,6.3,3.6,2.9,0.7,2.7
111,Crop production,4.6,3.1,1.7,1.4,1.6
112,Animal production and aquaculture,5.2,3.3,2.4,0.9,1.8
113,Forestry and logging,2.4,1.8,1.6,0.2,0.6
114,"Fishing, hunting and trapping",0,0,0,0,0
115,Support activities for agriculture and forestry,4.6,3.1,1.8,1.3,1.5
211,Oil and gas extraction,0.5,0.3,0.3,0.1,0.2
212,Mining (except oil and gas),2,1.4,1,0.4,0.6
213,Support activities for mining,0.9,0.7,0.5,0.1,0.3
221,Utilities,1.5,1,0.6,0.4,0.5
221,Utilities,3.5,2.1,1.2,1,1.4
236,Construction of buildings,2.3,1.3,0.9,0.4,1
237,Heavy and civil engineering construction,2,1.3,0.8,0.5,0.7
238,Specialty trade contractors,2.8,1.7,1.2,0.5,1
311,Food manufacturing,5.1,3.9,2.5,1.5,1.2
312,Beverage and tobacco product manufacturing,3.5,2.5,1.2,1.3,1
313,Textile mills,3.1,2.1,1.1,0.9,1
314,Textile product mills,3.3,2.2,1.1,1.1,1.1
315,Apparel manufacturing,1.7,1,0.6,0.5,0.7
316,Leather and allied product manufacturing,3.4,2.6,1.2,1.4,0.8
321,Wood product manufacturing,4.7,2.9,1.7,1.2,1.8
322,Paper manufacturing,2.4,1.6,0.9,0.7,0.8
323,Printing and related support activities,2,1.3,0.8,0.5,0.7
324,Petroleum and coal products manufacturing,1.2,0.7,0.4,0.3,0.5
325,Chemical manufacturing,1.8,1.2,0.7,0.5,0.6
326,Plastics and rubber products manufacturing,3.5,2.3,1.2,1.1,1.2
327,Nonmetallic mineral product manufacturing,3.4,2.3,1.2,1.1,1.1
331,Primary metal manufacturing,3.9,2.5,1.3,1.2,1.4
332,Fabricated metal product manufacturing,3.6,2.1,1.2,0.9,1.5
333,Machinery manufacturing,2.6,1.5,0.8,0.7,1.1
334,Computer and electronic product manufacturing,0.9,0.5,0.3,0.2,0.3
335,"Electrical equipment, appliance, and component manufacturing",2.4,1.4,0.7,0.7,0.9
336,Transportation equipment manufacturing,3.3,2.1,0.9,1.1,1.3
337,Furniture and related product manufacturing,3.8,2.3,1.2,1.1,1.5
339,Miscellaneous manufacturing,1.9,1.2,0.6,0.6,0.8
423,"Merchant wholesalers, durable goods",2,1.3,0.8,0.6,0.7
424,"Merchant wholesalers, nondurable goods",3.3,2.5,1.5,1,0.7
441,Motor vehicle and parts dealers,2.8,1.6,1.1,0.5,1.1
442,Furniture and home furnishings stores,2.7,1.8,0.9,0.8,1
443,Electronics and appliance stores,1.1,0.6,0.5,0.1,0.5
444,Building material and garden equipment and supplies dealers,4.2,2.9,1.5,1.5,1.2
445,Food and beverage stores,4,2.8,1.7,1.1,1.1
446,Health and personal care stores,1.8,1.2,0.7,0.5,0.6
447,Gasoline stations,1.9,1,0.7,0.3,0.9
448,Clothing and clothing accessories stores,1.1,0.7,0.4,0.3,0.4
451,"Sporting goods, hobby, musical instrument, and book stores",2.1,1.3,0.6,0.6,0.9
452,General merchandise stores,4.5,2.8,1.3,1.4,1.7
453,Miscellaneous store retailers,2.6,1.4,0.8,0.6,1.2
454,Nonstore retailers,1.9,1.5,1,0.5,0.4
481,Air transportation,4.2,3.4,2.4,0.9,0.8
482,Rail transportation,1.8,1.4,1.3,0.1,0.4
483,Water transportation,0,0,0,0,0
484,Truck transportation,3.1,2.3,1.7,0.6,0.8
485,Transit and ground passenger transportation,3.7,2.5,2,0.5,1.2
486,Pipeline transportation,1,0.5,0.4,0,0.5
488,Support activities for transportation,2.5,1.7,1.3,0.4,0.8
492,Couriers and messengers,6.8,5.2,2.9,2.3,1.6
493,Warehousing and storage,4.8,3.9,2.1,1.9,0.9
511,Publishing industries (except internet),0.3,0.1,0.1,0,0.1
512,Motion picture and sound recording industries,0,0,0,0,0
515,Broadcasting (except internet),0.7,0.4,0.2,0.2,0.3
517,Telecommunications,1.7,1.4,1.1,0.3,0.4
518,"Data processing, hosting, and related services",0.1,0.1,0,0,0
519,Other information services,0.1,0,0,0,0
522,Credit intermediation and related activities,0.4,0.2,0.2,0,0.2
523,"Securities, commodity contracts, and other financial investments and related activities",0,0,0,0,0
524,Insurance carriers and related activities,0.2,0.1,0.1,0,0.1
531,Real estate,1.9,1.2,0.9,0.4,0.7
