NAICS code,Industry,TRIR,DART
11,"Agriculture, forestry, fishing and hunting",4.6,3.1
111,Crop production,4.7,3
1111,Oilseed and grain farming,3.9,2.3
1112,Vegetable and melon farming,4.8,3
1113,Fruit and tree nut farming,4.9,3.4
1114,"Greenhouse, nursery, and floriculture production",4.7,2.8
1119,Other crop farming,3.7,2.7
112,Animal production and aquaculture,4.8,3
1121,Cattle ranching and farming,4.5,2.6
11211,"Beef cattle ranching and farming, including feedlots",5.3,3.6
11212,Dairy cattle and milk production,4.3,2.3
1122,Hog and pig farming,4.9,3.4
1123,Poultry and egg production,5.7,4.2
1125,Aquaculture,5.6,4.4
1129,Other animal production,4.7,1.9
113,Forestry and logging,3.4,2.6
1133,Logging,3.7,2.9
115,Support activities for agriculture and forestry,4.5,3.3
1151,Support activities for crop production,4.8,3.5
11511,Support activities for crop production,4.8,3.5
115112,"Soil preparation, planting, and cultivating",2.7,2.1
115114,Postharvest crop activities (except cotton ginning),5.8,4.3
115115,Farm labor contractors and crew leaders,4.6,3.6
115116,Farm management services,3.6,2.4
1152,Support activities for animal production,2.9,1.6
1153,Support activities for forestry,3.8,2.7
21,"Mining, quarrying, and oil and gas extraction",1.3,0.9
211,Oil and gas extraction,0.5,0.3
2111,Oil and gas extraction,0.5,0.3
21112,Crude petroleum extraction,0.4,0.3
21113,Natural gas extraction,0.6,0.4
212,Mining (except oil and gas),2.1,1.5
2121,Coal mining,3.2,2.4
21211,Coal mining,3.2,2.4
212111,Bituminous coal and lignite surface mining,1.2,0.7
212112,Bituminous coal underground mining,4.7,3.6
212113,Anthracite mining,2.5,1.9
2122,Metal ore mining,1.8,1.4
21221,Iron ore mining,1.7,1.3
21222,Gold ore and silver ore mining,1.3,0.9
212221,Gold ore mining,1.2,0.8
212222,Silver ore mining,2.3,1.4
21223,"Copper, nickel, lead, and zinc mining",2.3,1.9
21229,Other metal ore mining,2.3,1.6
212291,Uranium-radium-vanadium ore mining,0,0
212299,All other metal ore mining,2.4,1.6
2123,Nonmetallic mineral mining and quarrying,1.7,1.2
21231,Stone mining and quarrying,1.8,1.2
212311,Dimension stone mining and quarrying,2.2,1.6
212312,Crushed and broken limestone mining and quarrying,1.7,1.2
212313,Crushed and broken granite mining and quarrying,1.5,1.1
212319,Other crushed and broken stone mining and quarrying,1.8,1.4
21232,"Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying",1.6,1.1
212321,Construction sand and gravel mining,1.6,1.1
212324,Kaolin and ball clay mining,1.5,1.2
212325,Clay and ceramic and refractory minerals mining,2.4,1.5
21239,Other nonmetallic mineral mining and quarrying,2,1.4
212391,"Potash, soda, and borate mineral mining",1.4,1
212392,Phosphate rock mining,1.5,1.3
212393,Other chemical and fertilizer mineral mining,2.5,1.7
212399,All other nonmetallic mineral mining,2.5,1.6
213,Support activities for mining,0.9,0.6
2131,Support activities for mining,0.9,0.6
21311,Support activities for mining,0.9,0.6
213112,Support activities for oil and gas operations,0.9,0.6
23,Construction,2.5,1.6
236,Construction of buildings,1.9,1.1
2361,Residential building construction,1.9,1.1
2362,Nonresidential building construction,1.9,1
237,Heavy and civil engineering construction,2.1,1.3
2371,Utility system construction,1.8,1.2
23711,Water and sewer line and related structures construction,2.9,2
23712,Oil and gas pipeline and related structures construction,0.5,0.3
23713,Power and communication line and related structures construction,1.6,1
2372,Land subdivision,0,0.6
2373,"Highway, street, and bridge construction",3,1.8
2379,Other heavy and civil engineering construction,2,1.1
238,Specialty trade contractors,2.8,1.8
2381,"Foundation, structure, and building exterior contractors",3.7,2.6
23811,Poured concrete foundation and structure contractors,3.9,2.7
23812,Structural steel and precast concrete contractors,3.1,1.6
23813,Framing contractors,7.6,5.9
23814,Masonry contractors,2.4,1.7
23815,Glass and glazing contractors,3.4,2.4
23816,Roofing contractors,3.6,2.7
23817,Siding contractors,2.8,1.8
2382,Building equipment contractors,2.7,1.6
23821,Electrical contractors and other wiring installation contractors,1.8,1.1
23822,"Plumbing, heating, and air-conditioning contractors",3.5,2.1
23829,Other building equipment contractors,1.4,1
2383,Building finishing contractors,2.7,1.9
23831,Drywall and insulation contractors,3.4,2.4
23832,Painting and wall covering contractors,1.7,1.3
23833,Flooring contractors,1.6,0.9
23834,Tile and terrazzo contractors,2.2,1.6
23835,Finish carpentry contractors,3.7,2.5
23839,Other building finishing contractors,2.8,2
2389,Other specialty trade contractors,2.1,1.3
23891,Site preparation contractors,1.6,1
23899,All other specialty trade contractors,2.5,1.7
311,Food manufacturing,4.8,3.6
3111,Animal food manufacturing,3.6,2.5
31111,Animal food manufacturing,3.6,2.5
311111,Dog and cat food manufacturing,2.9,2
311119,Other animal food manufacturing,4.2,2.9
3112,Grain and oilseed milling,3.2,2.4
31121,Flour milling and malt manufacturing,4.7,3.7
311211,Flour milling,5,4.2
311212,Rice milling,3.6,2.3
31122,Starch and vegetable fats and oils manufacturing,2.4,1.8
311224,Soybean and other oilseed processing,4.3,3.3
311225,Fats and oils refining and blending,1.9,1.6
31123,Breakfast cereal manufacturing,2.6,1.9
3113,Sugar and confectionery product manufacturing,3.1,2
31131,Sugar manufacturing,2.9,1.6
311313,Beet sugar manufacturing,4,2
311314,Cane sugar manufacturing,2.1,1.3
31134,Nonchocolate confectionery manufacturing,3,2.1
31135,Chocolate and confectionery manufacturing,3.3,2.1
311351,Chocolate and confectionery manufacturing from cacao beans,4.1,2.4
311352,Confectionery manufacturing from purchased chocolate,3.1,2
3114,Fruit and vegetable preserving and specialty food manufacturing,4.6,3.3
31141,Frozen food manufacturing,4.4,3.1
311411,"Frozen fruit, juice, and vegetable manufacturing",5,3.6
311412,Frozen specialty food manufacturing,4.1,2.9
31142,"Fruit and vegetable canning, pickling, and drying",4.8,3.5
